UserId,AttractionId,Rating,VisitMode,AttractionTypeId_x,CityId,CountryId,RegionId,ContinentId,season,month,year,user_total_visits,user_avg_rating,attraction_popularity,date
6355,640,5,4,63,69.0,15,3,1,winter,1,2020,1,5.0,13198,2020-01-01
52542,640,5,3,63,3812.0,109,15,4,winter,1,2020,2,3.0,13198,2020-01-01
58772,640,5,2,63,57.0,14,3,1,winter,1,2020,1,5.0,13198,2020-01-01
58750,640,5,4,63,3671.0,108,14,3,winter,1,2020,1,5.0,13198,2020-01-01
46971,640,5,2,63,26.0,48,8,2,winter,1,2020,2,5.0,13198,2020-01-01
17018,640,5,3,63,426.0,163,21,5,winter,1,2020,2,5.0,13198,2020-01-01
73591,640,4,2,63,441.0,48,8,2,winter,1,2020,1,4.0,13198,2020-01-01
44572,640,3,3,63,2690.0,93,13,3,winter,12,2019,1,3.0,13198,2019-12-01
73334,640,5,5,63,2934.0,94,13,3,winter,1,2020,1,5.0,13198,2020-01-01
55962,640,1,2,63,1674.0,51,8,2,winter,1,2020,1,1.0,13198,2020-01-01
21235,640,5,4,63,972.0,163,21,5,winter,1,2020,2,4.0,13198,2020-01-01
78327,640,4,2,63,7080.0,157,20,5,winter,1,2020,1,4.0,13198,2020-01-01
85955,640,5,4,63,554.0,48,8,2,winter,1,2020,2,5.0,13198,2020-01-01
48535,640,4,3,63,402.0,48,8,2,winter,1,2020,1,4.0,13198,2020-01-01
79458,640,5,2,63,2189.0,54,9,2,winter,1,2020,2,4.0,13198,2020-01-01
58461,640,4,2,63,2708.0,93,13,3,winter,1,2020,2,4.0,13198,2020-01-01
85351,640,5,3,63,1434.0,109,15,4,winter,1,2020,1,5.0,13198,2020-01-01
87932,640,5,2,63,3567.0,107,14,3,winter,1,2020,2,5.0,13198,2020-01-01
47662,640,5,2,63,426.0,163,21,5,winter,1,2020,4,4.0,13198,2020-01-01
6464,640,4,3,63,3687.0,109,15,4,winter,12,2019,2,4.0,13198,2019-12-01
54547,640,4,2,63,7097.0,157,20,5,winter,12,2019,1,4.0,13198,2019-12-01
48254,640,5,3,63,4118.0,109,15,4,winter,1,2020,3,4.333333333333333,13198,2020-01-01
31313,640,5,4,63,3140.0,101,14,3,winter,12,2019,2,5.0,13198,2019-12-01
64200,640,5,3,63,611.0,50,8,2,winter,1,2020,2,5.0,13198,2020-01-01
47878,640,5,3,63,5283.0,109,15,4,winter,1,2020,1,5.0,13198,2020-01-01
76383,640,3,2,63,4940.0,109,15,4,winter,1,2020,1,3.0,13198,2020-01-01
69047,640,4,2,63,3786.0,109,15,4,winter,1,2020,1,4.0,13198,2020-01-01
4704,640,3,2,63,5506.0,115,16,4,winter,1,2020,1,3.0,13198,2020-01-01
60786,640,4,2,63,535.0,109,15,4,autumn,11,2019,1,4.0,13198,2019-11-01
11567,640,5,3,63,3551.0,106,14,3,winter,12,2019,2,5.0,13198,2019-12-01
9721,640,5,4,63,8842.0,163,21,5,winter,1,2020,1,5.0,13198,2020-01-01
81917,640,5,2,63,8905.0,163,21,5,winter,1,2020,1,5.0,13198,2020-01-01
74047,640,5,3,63,743.0,163,21,5,winter,1,2020,2,5.0,13198,2020-01-01
35064,640,3,2,63,136.0,22,4,1,winter,12,2019,2,3.0,13198,2019-12-01
16210,640,4,2,63,1275.0,109,15,4,winter,12,2019,1,4.0,13198,2019-12-01
34475,640,5,3,63,114.0,22,4,1,winter,1,2020,1,5.0,13198,2020-01-01
35014,640,5,3,63,2534.0,80,12,3,summer,8,2019,3,4.666666666666667,13198,2019-08-01
32271,640,5,4,63,6175.0,133,17,5,winter,12,2019,1,5.0,13198,2019-12-01
51045,640,5,3,63,3577.0,107,14,3,winter,1,2020,2,5.0,13198,2020-01-01
61162,640,2,5,63,2623.0,89,12,3,winter,1,2020,1,2.0,13198,2020-01-01
82738,640,5,4,63,1396.0,163,21,5,autumn,10,2019,3,4.666666666666667,13198,2019-10-01
48073,640,3,2,63,5487.0,115,16,4,winter,1,2020,2,3.5,13198,2020-01-01
31427,640,4,3,63,1497.0,139,18,5,winter,1,2020,1,4.0,13198,2020-01-01
30811,640,5,4,63,6689.0,145,19,5,winter,1,2020,1,5.0,13198,2020-01-01
66675,640,5,4,63,7017.0,155,20,5,winter,1,2020,4,4.75,13198,2020-01-01
44748,640,5,2,63,4637.0,109,15,4,winter,12,2019,1,5.0,13198,2019-12-01
18295,640,4,4,63,1434.0,109,15,4,winter,1,2020,1,4.0,13198,2020-01-01
37703,640,4,4,63,2168.0,54,9,2,winter,1,2020,2,4.0,13198,2020-01-01
3850,640,5,5,63,1396.0,163,21,5,winter,1,2020,7,4.285714285714286,13198,2020-01-01
61329,640,5,2,63,106.0,22,4,1,winter,12,2019,4,4.75,13198,2019-12-01
18016,640,5,2,63,2604.0,88,12,3,winter,1,2020,3,4.0,13198,2020-01-01
